period_date,ticker
2018-01-03,ADIB
2018-01-03,AMOC
2018-01-03,ARAB
2018-01-03,ARCC
2018-01-03,ASPI
2018-01-03,CCAP
2018-01-03,CICH
2018-01-03,COMI
2018-01-03,EAST
2018-01-03,EFID
2018-01-03,EGCH
2018-01-03,EGTS
2018-01-03,ETEL
2018-01-03,EMFD
2018-01-03,ESRS
2018-01-03,HELI
2018-01-03,HRHO
2018-01-03,IRON
2018-01-03,MASR
2018-01-03,OCDI
2018-01-03,OFH
2018-01-03,OIH
2018-01-03,ORWE
2018-01-03,PHDC
2018-01-03,SKPC
2018-01-03,SUGR
2018-01-03,SWDY
2018-01-03,TMGH
2018-12-31,ABUK
2018-12-31,AMOC
2018-12-31,ARAB
2018-12-31,ASPI
2018-12-31,CCAP
2018-12-31,COMI
2018-12-31,EAST
2018-12-31,EFID
2018-12-31,EGAL
2018-12-31,EGTS
2018-12-31,EKHOA
2018-12-31,ETEL
2018-12-31,EMFD
2018-12-31,ESRS
2018-12-31,HELI
2018-12-31,HRHO
2018-12-31,IRON
2018-12-31,ISPH
2018-12-31,JUFO
2018-12-31,MASR
2018-12-31,OCDI
2018-12-31,OFH
2018-12-31,OIH
2018-12-31,ORAS
2018-12-31,ORWE
2018-12-31,PHDC
2018-12-31,QNBE
2018-12-31,SKPC
2018-12-31,SWDY
2018-12-31,TMGH
2019-01-02,ABUK
2019-01-02,AMOC
2019-01-02,ARAB
2019-01-02,ASPI
2019-01-02,CCAP
2019-01-02,COMI
2019-01-02,EAST
2019-01-02,EFID
2019-01-02,EGAL
2019-01-02,EGTS
2019-01-02,EKHOA
2019-01-02,ETEL
2019-01-02,EMFD
2019-01-02,ESRS
2019-01-02,HELI
2019-01-02,HRHO
2019-01-02,IRON
2019-01-02,ISPH
2019-01-02,JUFO
2019-01-02,MASR
2019-01-02,OCDI
2019-01-02,OFH
2019-01-02,OIH
2019-01-02,ORAS
2019-01-02,ORWE
2019-01-02,PHDC
2019-01-02,QNBE
2019-01-02,SKPC
2019-01-02,SWDY
2019-01-02,TMGH
2019-12-31,ADIB
2019-12-31,AMOC
2019-12-31,ASPI
2019-12-31,CCAP
2019-12-31,CIEB
2019-12-31,CIRA
2019-12-31,CLHO
2019-12-31,COMI
2019-12-31,EAST
2019-12-31,EGCH
2019-12-31,EGTS
2019-12-31,EKHOA
2019-12-31,ETEL
2019-12-31,EMFD
2019-12-31,ESRS
2019-12-31,HELI
2019-12-31,HRHO
2019-12-31,IRON
2019-12-31,ISPH
2019-12-31,JUFO
2019-12-31,MASR
2019-12-31,OCDI
2019-12-31,OIH
2019-12-31,ORAS
2019-12-31,ORHD
2019-12-31,ORWE
2019-12-31,PHDC
2019-12-31,SKPC
2019-12-31,SWDY
2019-12-31,TMGH
2020-01-01,COMI
2020-01-01,EAST
2020-01-01,HRHO
2020-01-01,PHDC
2020-01-01,SKPC
2020-01-01,TMGH
2020-01-01,ETEL
2020-01-01,AMOC
2020-01-01,CIEB
2020-01-01,EKHO
2020-01-01,SWDY
2020-01-01,HELI
2020-01-01,ESRS
2020-01-01,ISPH
2020-01-01,JUFO
2020-01-01,ORAS
2020-01-01,ORHD
2020-01-01,CLHO
2020-01-01,MASR
2020-01-01,CIRA
2020-01-01,CCAP
2020-01-01,EMFD
2020-01-01,GBCO
2020-01-01,OIH
2020-01-01,PIOH
2020-01-01,OCDI
2020-01-01,DSCW
2020-01-01,EGTS
2020-01-01,EGCH
2020-01-01,PORT
2020-12-31,COMI
2020-12-31,EAST
2020-12-31,HRHO
2020-12-31,PHDC
2020-12-31,SKPC
2020-12-31,TMGH
2020-12-31,ETEL
2020-12-31,CIEB
2020-12-31,EKHO
2020-12-31,SWDY
2020-12-31,HELI
2020-12-31,ESRS
2020-12-31,ISPH
2020-12-31,ORWE
2020-12-31,JUFO
2020-12-31,ORHD
2020-12-31,CLHO
2020-12-31,EFID
2020-12-31,MASR
2020-12-31,BTFH
2020-12-31,CIRA
2020-12-31,CCAP
2020-12-31,EMFD
2020-12-31,GBCO
2020-12-31,OIH
2020-12-31,PIOH
2020-12-31,OCDI
2020-12-31,DSCW
2020-12-31,EXPA
2020-12-31,IRON
2021-01-01,COMI
2021-01-01,EAST
2021-01-01,HRHO
2021-01-01,PHDC
2021-01-01,SKPC
2021-01-01,TMGH
2021-01-01,ETEL
2021-01-01,AMOC
2021-01-01,CIEB
2021-01-01,EKHO
2021-01-01,SWDY
2021-01-01,HELI
2021-01-01,ABUK
2021-01-01,ESRS
2021-01-01,FWRY
2021-01-01,ISPH
2021-01-01,MFPC
2021-01-01,ORWE
2021-01-01,ORHD
2021-01-01,CLHO
2021-01-01,EFID
2021-01-01,MASR
2021-01-01,CIRA
2021-01-01,CCAP
2021-01-01,EMFD
2021-01-01,GBCO
2021-01-01,MTIE
2021-01-01,OIH
2021-01-01,PIOH
2021-01-01,OCDI
2021-01-01,EXPA
2021-01-01,CICH
2021-01-01,OFH
2021-12-31,COMI
2021-12-31,EAST
2021-12-31,HRHO
2021-12-31,PHDC
2021-12-31,SKPC
2021-12-31,TMGH
2021-12-31,ETEL
2021-12-31,AMOC
2021-12-31,CIEB
2021-12-31,EKHO
2021-12-31,SWDY
2021-12-31,HELI
2021-12-31,ABUK
2021-12-31,ESRS
2021-12-31,FWRY
2021-12-31,ISPH
2021-12-31,MFPC
2021-12-31,ORWE
2021-12-31,EFIH
2021-12-31,EKHOA
2021-12-31,ORHD
2021-12-31,CLHO
2021-12-31,MASR
2021-12-31,CIRA
2021-12-31,CCAP
2021-12-31,RMDA
2021-12-31,GBCO
2021-12-31,MTIE
2021-12-31,EGTS
2021-12-31,RAYA
2021-12-31,ASPI
2021-12-31,GDWA
2021-12-31,PRDC
2021-12-31,SPMD
2022-01-01,COMI
2022-01-01,EAST
2022-01-01,HRHO
2022-01-01,PHDC
2022-01-01,SKPC
2022-01-01,TMGH
2022-01-01,ETEL
2022-01-01,AMOC
2022-01-01,CIEB
2022-01-01,EKHO
2022-01-01,SWDY
2022-01-01,HELI
2022-01-01,ABUK
2022-01-01,ESRS
2022-01-01,FWRY
2022-01-01,ISPH
2022-01-01,MFPC
2022-01-01,ORWE
2022-01-01,EFIH
2022-01-01,EKHOA
2022-01-01,ORAS
2022-01-01,ORHD
2022-01-01,CLHO
2022-01-01,MASR
2022-01-01,ADIB
2022-01-01,CCAP
2022-01-01,RMDA
2022-01-01,GBCO
2022-01-01,MTIE
2022-01-01,HDBK
2022-12-31,COMI
2022-12-31,EAST
2022-12-31,HRHO
2022-12-31,PHDC
2022-12-31,SKPC
2022-12-31,TMGH
2022-12-31,ETEL
