period_start,ticker,risk_profile,actual_sharpe,actual_fwd_vol,classification_correct,split
2018-07-01,ABUK,,-4.9071882726175,0.10624414682388306,,train
2018-07-01,ADIB,balanced,-3.806671623864932,0.26475322246551514,1.0,train
2018-07-01,ALCN,,,,,train
2018-07-01,AMOC,conservative,-3.5900857804994075,0.20888470113277435,1.0,train
2018-07-01,ARCC,balanced,-7.094434226459835,0.21653388440608978,0.0,train
2018-07-01,ASPI,,,,,train
2018-07-01,BINV,,,,,train
2018-07-01,BTFH,,-3.9264158462583194,0.2889729142189026,,train
2018-07-01,CCAP,aggressive,-1.3541671765589696,0.46434688568115234,1.0,train
2018-07-01,CICH,,,,,train
2018-07-01,CIEB,,,,,train
2018-07-01,CIRA,,,,,train
2018-07-01,CLHO,,,,,train
2018-07-01,COMI,conservative,-0.9193165513369372,0.20051293075084686,1.0,train
2018-07-01,DSCW,,,,,train
2018-07-01,EAST,conservative,-3.931980225163319,0.2789812684059143,0.0,train
2018-07-01,EFID,conservative,2.7353133520834643,0.09384456276893616,1.0,train
2018-07-01,EFIH,,,,,train
2018-07-01,EGAL,,-3.4123394841791765,0.3782968521118164,,train
2018-07-01,EGCH,aggressive,-5.308547445421672,0.44357872009277344,1.0,train
2018-07-01,EGTS,,,,,train
2018-07-01,EMFD,aggressive,0.24652232568070057,0.33302614092826843,1.0,train
2018-07-01,ETEL,conservative,-0.1684390856790925,0.2536220848560333,1.0,train
2018-07-01,EXPA,,,,,train
2018-07-01,FAIT,,,,,train
2018-07-01,FAITA,,,,,train
2018-07-01,FWRY,,,,,train
2018-07-01,GBCO,,0.36305608009103285,0.3535086512565613,,train
2018-07-01,GDWA,,,,,train
2018-07-01,HDBK,,,,,train
2018-07-01,HELI,aggressive,-0.7331082888440595,0.40860918164253235,1.0,train
2018-07-01,HRHO,balanced,-2.076705219600277,0.3279211223125458,0.0,train
2018-07-01,IRON,aggressive,,,,train
2018-07-01,ISPH,,-1.7797727801614733,0.37209075689315796,,train
2018-07-01,JUFO,,-4.035700476852787,0.23986290395259857,,train
2018-07-01,MASR,,,,,train
2018-07-01,MCQE,,-8.251004358113299,0.23529453575611115,,train
2018-07-01,MFPC,,,,,train
2018-07-01,MTIE,,,,,train
