quarter_start,ticker,rl_risk_score,risk_profile,split
2018-07-10,ABUK,-1.3460793097813923,balanced,train
2018-07-10,ADIB,-2.1383915344874063,conservative,train
2018-07-10,ALCN,-3.713317076365153,conservative,train
2018-07-10,AMOC,-3.6691178480784097,conservative,train
2018-07-10,ARAB,4.1321226755778,aggressive,train
2018-07-10,ARCC,3.045110583305359,balanced,train
2018-07-10,ASPI,4.261744022369385,aggressive,train
2018-07-10,BINV,3.3690617084503174,balanced,train
2018-07-10,BTFH,4.200104236602783,aggressive,train
2018-07-10,CCAP,4.188030083974202,aggressive,train
2018-07-10,CICH,-1.748785416285197,balanced,train
2018-07-10,CIEB,-3.720772663752238,conservative,train
2018-07-10,CIRA,,,train
2018-07-10,CLHO,-1.1687978108723958,balanced,train
2018-07-10,COMI,-3.7320822874704995,conservative,train
2018-07-10,DSCW,-1.5023342967033386,balanced,train
2018-07-10,EAST,-1.3411180973052979,balanced,train
2018-07-10,EFID,-3.485496997833252,conservative,train
2018-07-10,EFIH,,,train
2018-07-10,EGAL,4.080625534057617,aggressive,train
2018-07-10,EGCH,4.2546671231587725,aggressive,train
2018-07-10,EGTS,4.265812079111735,aggressive,train
2018-07-10,EMFD,4.000679890314738,aggressive,train
2018-07-10,ETEL,-3.066335121790568,conservative,train
2018-07-10,EXPA,-1.526563326517741,balanced,train
2018-07-10,FAIT,-3.402221441268921,conservative,train
2018-07-10,FAITA,-3.7452316284179688,conservative,train
2018-07-10,FWRY,,,train
2018-07-10,GBCO,4.023128430048625,aggressive,train
2018-07-10,GDWA,,,train
2018-07-10,HDBK,-3.433460791905721,conservative,train
2018-07-10,HELI,2.9424593846003213,balanced,train
2018-07-10,HRHO,0.34124765917658806,balanced,train
2018-07-10,IRON,4.193518956502278,aggressive,train
2018-07-10,ISPH,3.632601181666056,balanced,train
2018-07-10,JUFO,-3.621946652730306,conservative,train
2018-07-10,MASR,4.071160554885864,aggressive,train
2018-07-10,MCQE,-1.0650543371836345,balanced,train
2018-07-10,MFPC,-1.9850866198539734,conservative,train
2018-07-10,MTIE,3.936440944671631,aggressive,train
2018-07-10,OCDI,4.232863903045654,aggressive,train
2018-07-10,OFH,,,train
2018-07-10,OIH,3.916102488835653,aggressive,train
2018-07-10,ORAS,-3.8172570864359536,conservative,train
2018-07-10,ORHD,4.094178358713786,aggressive,train
2018-07-10,ORWE,1.3801071246465046,balanced,train
2018-07-10,PHAR,-3.354408343633016,conservative,train
2018-07-10,PHDC,4.191078344980876,aggressive,train
2018-07-10,PRDC,,,train
2018-07-10,QNBE,-3.210431178410848,conservative,train
2018-07-10,RAYA,-3.484983205795288,conservative,train
2018-07-10,RMDA,,,train
2018-07-10,SKPC,3.1277453104654946,balanced,train
2018-07-10,SPMD,,,train
2018-07-10,SUGR,2.3181476394335427,balanced,train
2018-07-10,SWDY,0.8128480315208435,balanced,train
2018-07-10,TALM,,,train
2018-07-10,TMGH,3.9059173266092935,aggressive,train
2018-07-10,VLMR,-3.7382043997446694,conservative,train
2018-07-10,VLMRA,,,train
2018-10-17,ABUK,-3.25606632232666,conservative,train
2018-10-17,ADIB,2.1799508333206177,balanced,train
2018-10-17,ALCN,-3.690569003423055,conservative,train
2018-10-17,AMOC,0.5476106405258179,balanced,train
2018-10-17,ARAB,4.223183472951253,aggressive,train
2018-10-17,ARCC,2.4571523865063987,balanced,train
2018-10-17,ASPI,4.203623294830322,aggressive,train
2018-10-17,BINV,2.3889893293380737,balanced,train
2018-10-17,BTFH,4.25245984395345,aggressive,train
2018-10-17,CCAP,4.074667692184448,aggressive,train
2018-10-17,CICH,-1.370414177576701,balanced,train
2018-10-17,CIEB,-3.64141837755839,conservative,train
2018-10-17,CIRA,3.187023162841797,balanced,train
2018-10-17,CLHO,-2.674353281656901,conservative,train
2018-10-17,COMI,-3.6143456300099692,conservative,train
2018-10-17,DSCW,-0.3587934176127116,balanced,train
2018-10-17,EAST,-0.4682554006576538,balanced,train
2018-10-17,EFID,-3.1690662701924643,conservative,train
2018-10-17,EFIH,,,train
2018-10-17,EGAL,3.214759667714437,aggressive,train
2018-10-17,EGCH,4.173554261525472,aggressive,train
2018-10-17,EGTS,4.184590498606364,aggressive,train
2018-10-17,EMFD,4.2198967933654785,aggressive,train
2018-10-17,ETEL,-2.1612757047017417,conservative,train
2018-10-17,EXPA,-3.1067519982655845,conservative,train
2018-10-17,FAIT,-3.6278045177459717,conservative,train
2018-10-17,FAITA,-3.703106959660848,conservative,train
2018-10-17,FWRY,,,train
2018-10-17,GBCO,2.1454185843467712,balanced,train
2018-10-17,GDWA,,,train
2018-10-17,HDBK,-3.558651606241862,conservative,train
2018-10-17,HELI,4.013206561406453,aggressive,train
2018-10-17,HRHO,1.5692513386408489,balanced,train
2018-10-17,IRON,4.262645085652669,aggressive,train
2018-10-17,ISPH,3.6488609313964844,aggressive,train
2018-10-17,JUFO,-2.9056801001230874,conservative,train
2018-10-17,MASR,4.076045751571655,aggressive,train
2018-10-17,MCQE,3.0899791717529297,balanced,train
2018-10-17,MFPC,-2.079863429069519,conservative,train
2018-10-17,MTIE,-1.1170008182525635,balanced,train
2018-10-17,OCDI,4.183326085408528,aggressive,train
2018-10-17,OFH,,,train
2018-10-17,OIH,2.8075515031814575,balanced,train
2018-10-17,ORAS,-3.587847948074341,conservative,train
2018-10-17,ORHD,4.244939009348552,aggressive,train
2018-10-17,ORWE,-1.9365485509236653,balanced,train
2018-10-17,PHAR,-3.508326768875122,conservative,train
2018-10-17,PHDC,4.243673165639241,aggressive,train
2018-10-17,PRDC,,,train
2018-10-17,QNBE,-3.164205551147461,conservative,train
2018-10-17,RAYA,-0.2509121100107829,balanced,train
2018-10-17,RMDA,,,train
2018-10-17,SKPC,1.7303560574849446,balanced,train
2018-10-17,SPMD,,,train
2018-10-17,SUGR,3.7754995028177896,aggressive,train
2018-10-17,SWDY,4.124456882476807,aggressive,train
2018-10-17,TALM,,,train
2018-10-17,TMGH,2.3918479681015015,balanced,train
2018-10-17,VLMR,-3.7321972846984863,conservative,train
2018-10-17,VLMRA,,,train
2019-01-20,ABUK,-2.788328170776367,conservative,train
2019-01-20,ADIB,3.878520965576172,aggressive,train
2019-01-20,ALCN,-3.5863523483276367,conservative,train
2019-01-20,AMOC,3.2012476921081543,balanced,train
2019-01-20,ARAB,4.20326566696167,aggressive,train
2019-01-20,ARCC,2.8664528528849282,balanced,train
2019-01-20,ASPI,4.146813074747722,aggressive,train
2019-01-20,BINV,3.927676518758138,aggressive,train
2019-01-20,BTFH,4.2620978355407715,aggressive,train
2019-01-20,CCAP,3.9742327531178794,aggressive,train
2019-01-20,CICH,-3.724515358606974,conservative,train
2019-01-20,CIEB,-3.7087870438893638,conservative,train
2019-01-20,CIRA,3.8846261501312256,aggressive,train
2019-01-20,CLHO,-2.9636850357055664,conservative,train
2019-01-20,COMI,-3.746403455734253,conservative,train
2019-01-20,DSCW,3.5055293242136636,balanced,train
2019-01-20,EAST,-0.09497364362080891,balanced,train
2019-01-20,EFID,-2.161221206188202,conservative,train
2019-01-20,EFIH,,,train
2019-01-20,EGAL,2.6652856270472207,balanced,train
2019-01-20,EGCH,4.10900084177653,aggressive,train
2019-01-20,EGTS,4.224411805470784,aggressive,train
2019-01-20,EMFD,3.998164733250936,aggressive,train
2019-01-20,ETEL,-0.8152657349904379,balanced,train
2019-01-20,EXPA,-3.466450850168864,conservative,train
2019-01-20,FAIT,-3.7989577452341714,conservative,train
2019-01-20,FAITA,-3.748002529144287,conservative,train
2019-01-20,FWRY,,,train
2019-01-20,GBCO,1.7868032058080037,balanced,train
2019-01-20,GDWA,,,train
2019-01-20,HDBK,-3.6418964862823486,conservative,train
2019-01-20,HELI,4.070372263590495,aggressive,train
2019-01-20,HRHO,-1.3360532124837239,balanced,train
2019-01-20,IRON,4.216236273447673,aggressive,train
2019-01-20,ISPH,3.8045703570048013,balanced,train
2019-01-20,JUFO,-3.53908904393514,conservative,train
2019-01-20,MASR,4.125814278920491,aggressive,train
2019-01-20,MCQE,3.7272122701009116,balanced,train
2019-01-20,MFPC,-0.4496864378452301,balanced,train
2019-01-20,MTIE,2.2081681291262307,balanced,train
2019-01-20,OCDI,4.241147041320801,aggressive,train
2019-01-20,OFH,,,train
2019-01-20,OIH,2.7247958381970725,balanced,train
2019-01-20,ORAS,-1.8368367950121562,balanced,train
2019-01-20,ORHD,4.173875172932942,aggressive,train
2019-01-20,ORWE,-2.5208469231923423,conservative,train
2019-01-20,PHAR,-2.662798444430033,conservative,train
2019-01-20,PHDC,4.14973799387614,aggressive,train
2019-01-20,PRDC,,,train
2019-01-20,QNBE,-3.5297390619913735,conservative,train
2019-01-20,RAYA,-2.061033924420675,conservative,train
2019-01-20,RMDA,,,train
2019-01-20,SKPC,2.8678524494171143,balanced,train
2019-01-20,SPMD,,,train
2019-01-20,SUGR,2.7115681171417236,balanced,train
2019-01-20,SWDY,4.042237361272176,aggressive,train
2019-01-20,TALM,,,train
2019-01-20,TMGH,-1.029000997543335,balanced,train
2019-01-20,VLMR,-3.6473892529805503,conservative,train
2019-01-20,VLMRA,,,train
2019-04-18,ABUK,-0.714873751004537,balanced,train
2019-04-18,ADIB,1.6332306464513142,balanced,train
2019-04-18,ALCN,-3.8064555327097573,conservative,train
2019-04-18,AMOC,4.047361532847087,aggressive,train
2019-04-18,ARAB,3.5003139972686768,aggressive,train
2019-04-18,ARCC,1.7884195645650227,balanced,train
2019-04-18,ASPI,3.7661569913228354,aggressive,train
2019-04-18,BINV,3.6472166379292807,aggressive,train
2019-04-18,BTFH,4.256054401397705,aggressive,train
2019-04-18,CCAP,3.9682319164276123,aggressive,train
2019-04-18,CICH,-3.476155440012614,conservative,train
2019-04-18,CIEB,-3.6194279193878174,conservative,train
2019-04-18,CIRA,-0.23929369449615479,balanced,train
2019-04-18,CLHO,-0.6311655032138029,balanced,train
2019-04-18,COMI,-3.5790982246398926,conservative,train
2019-04-18,DSCW,4.122444311777751,aggressive,train
2019-04-18,EAST,-3.13072935740153,conservative,train
2019-04-18,EFID,-1.8824920256932576,balanced,train
2019-04-18,EFIH,,,train
2019-04-18,EGAL,4.127785762151082,aggressive,train
2019-04-18,EGCH,4.2074127197265625,aggressive,train
2019-04-18,EGTS,2.092688282330831,balanced,train
2019-04-18,EMFD,0.6638547778129578,balanced,train
2019-04-18,ETEL,-1.268864929676056,balanced,train
2019-04-18,EXPA,-3.4872559706370034,conservative,train
2019-04-18,FAIT,-3.589062452316284,conservative,train
2019-04-18,FAITA,-3.7048354148864746,conservative,train
2019-04-18,FWRY,,,train
2019-04-18,GBCO,2.213239868481954,balanced,train
2019-04-18,GDWA,,,train
2019-04-18,HDBK,-3.6033267180124917,conservative,train
2019-04-18,HELI,4.1351698239644366,aggressive,train
2019-04-18,HRHO,-3.657323439915975,conservative,train
2019-04-18,IRON,4.2332658767700195,aggressive,train
2019-04-18,ISPH,-0.9919402201970419,balanced,train
2019-04-18,JUFO,-3.269153118133545,conservative,train
2019-04-18,MASR,0.5270140071709951,balanced,train
2019-04-18,MCQE,4.194345633188884,aggressive,train
