quarter_start,spearman_rho,n_valid_tickers,split
2020-07-13,0.510487579230926,54,train
2020-10-18,0.7216416372503891,54,train
2021-01-17,0.7391377987456677,54,train
2021-04-15,0.713568988378691,56,train
2021-07-28,0.7159399662208933,56,train
2021-10-28,0.6132566233257112,60,train
2022-01-26,0.7208230762256319,60,train
2022-04-28,0.6824601429561182,60,train
2022-08-10,0.7411300069052092,60,train
2022-11-08,0.44243371033479845,60,train
2023-02-08,0.7233624905559365,60,train
2023-05-17,0.47050952955168207,60,train
2023-08-23,0.5894031042791044,60,train
2023-11-22,0.5028985417945628,60,train
2024-02-22,0.6641297763025839,60,train
2024-05-30,0.566245184501943,60,train
2024-09-08,,0,train
2025-01-02,0.7280507226779255,60,test
2025-04-08,0.5502143316710669,60,test
2025-07-20,0.45384902492156964,60,test
2025-10-20,0.44821497037372804,60,test
