,ABUK,ADIB,ALCN,AMOC,ARCC,ASPI,BINV,BTFH,CCAP,CICH,CIEB,CIRA,CLHO,COMI,DSCW,EAST,EFID,EFIH,EGAL,EGCH,EGTS,EMFD,ETEL,EXPA,FAIT,FAITA,FWRY,GBCO,GDWA,HDBK,HELI,HRHO,IRON,ISPH,JUFO,MASR,MCQE,MFPC,MTIE,OCDI,OFH,OIH,ORAS,ORHD,ORWE,PHAR,PHDC,PRDC,QNBE,RAYA,RMDA,SKPC,SPMD,SUGR,SWDY,TALM,TMGH,VLMR,VLMRA
2018-07-10,0.21172355,0.2723184,,0.21966289,0.2466348,,,0.32046434,0.5023106,,,,,0.21627988,,0.26402694,0.071583465,,0.41378665,0.48982129,,0.3164934,0.23205118,,,,,0.35722664,,,0.30801943,0.35196033,0.29627976,0.2914334,0.30648422,,0.3173598,,,,,0.23181221,0.17347729,0.41438678,0.22764648,,0.38191748,,,0.22033499,,,,,,,0.3361689,0.09169795,
2018-08-09,0.37754956,0.26786962,,0.25612953,0.32515582,,,0.41065007,0.34913552,,,,,0.20538321,,0.31866065,0.052664626,,0.32741076,0.5129299,,0.2702553,0.23776233,,,,,0.35889256,,,0.39983395,0.3872545,0.46990716,0.30667403,0.15800627,,0.2551554,,,,,0.3254426,0.19818918,0.30302504,0.27575928,,0.486971,,,0.30056307,,,,,,,0.43001643,0.13903292,
2018-09-17,0.30816433,0.49974954,,0.3571998,0.4492972,,,0.5967173,0.5884362,,,,,0.17810294,,0.4186774,0.48309317,,0.4646769,0.48828366,,0.6244587,0.45726234,,,,,0.49685842,,,0.48139167,0.45530397,0.72060186,0.65056556,0.47122276,,0.476848,,,,,0.6556214,0.39196223,0.69289845,0.46876666,,0.5330373,,,0.5072109,,,,,,,0.33293214,0.20904021,
2018-10-17,0.37948194,0.28810194,,0.5481177,0.30009463,,,0.50156456,0.32267573,,,,,0.19439451,,0.27164173,0.26267728,,0.376876,0.36762482,,0.3436254,0.23975639,,,,,0.4519918,,,0.3275363,0.2674567,0.4129708,0.3214645,0.30359948,,0.3429459,,,,,0.34278554,0.1856818,0.58988833,0.29844865,,0.339592,,,0.9258752,,,,,,,0.37240854,0.105826356,
2018-11-15,0.30491054,0.45459366,,0.34233272,0.39674917,,,0.34963283,0.39938653,,,,,0.3892867,,0.43552923,0.05035776,,0.23789828,0.5183429,,0.32823884,0.42700487,,,,,0.26033595,,,0.46490118,0.30417114,0.37840903,0.27659324,0.30824095,,0.45931783,,,,,0.31852612,0.300661,0.5318216,0.280414,,0.43487948,,,0.31018206,,,,,,,0.3218796,0.12478808,
2018-12-18,0.24459523,0.26494548,,0.18492179,0.19559075,,,0.4774702,0.27545252,,,,,0.23519787,,0.22022425,0.0,,0.30935022,0.32677153,,0.20470111,0.29596782,,,,,0.23343667,,,0.19281581,0.22980228,0.24445687,0.2004298,0.16467519,,0.23422535,,,,,0.17632544,0.32091108,0.2718945,0.2354684,,0.2000806,,,0.24674098,,,,,,,0.2342756,0.15163372,
2019-01-20,0.35172197,0.377061,,0.3336693,0.32556257,,,0.45065084,0.20320754,,,,,0.1905578,,0.22177707,0.5337229,,0.3176162,0.24525611,,0.27034196,0.3117188,,,,,0.34591177,,,0.36672464,0.21677835,0.26322606,0.32778102,0.22311369,,0.30534425,,,,,0.34918752,0.3307205,0.24138986,0.25780338,,0.31909394,,,0.11971698,,,,,,,0.28816828,0.29074293,
2019-02-19,0.2750207,0.30363485,,0.19577764,0.1948919,,,0.36641228,0.22891515,,,,,0.18409306,,0.26018083,0.3172768,,0.1596888,0.18613628,,0.2640115,0.23137301,,,,,0.31128967,,,0.4257673,0.1576055,0.21096912,0.5274289,0.14684013,,0.3396335,,,,,0.5355458,0.19375712,0.2603205,0.30649564,,0.24745142,,,0.103631,,,,,,,0.17845984,0.48474228,
2019-03-20,0.2351301,0.2497447,,0.15459485,0.19214836,,,0.2161636,0.21897027,,,,,0.198774,,0.14701352,0.4659764,,0.24144562,0.18476309,,0.2575835,0.19277665,,,,,0.2091013,,,0.4057233,0.17373121,0.2137202,0.11562594,0.106921054,,0.18779385,,,,,0.3971028,0.110998474,0.21216331,0.17291255,,0.2554631,,,0.08017413,,,,,,,0.14257494,0.22348796,
2019-04-18,0.32708004,0.25334656,,0.5278602,0.29774058,,,0.4016,0.39034417,,,,,0.24425569,,0.30492088,0.0049610496,,0.612721,0.42566317,,0.36336288,0.26656958,,,,,0.27776855,,,0.43352383,0.16142088,0.54659534,0.22375226,0.37642342,,0.44727403,,,,,0.27494058,0.207539,0.3945053,0.56950545,,0.2152936,,,0.36244303,,,,,,,0.30202135,0.26318607,
