datetime,ABUK,ADIB,AMOC,ARCC,BTFH,CCAP,COMI,EAST,EFID,EFIH,EGAL,EGCH,EMFD,ETEL,FWRY,GBCO,HELI,HRHO,ISPH,JUFO,MCQE,OIH,ORAS,ORHD,ORWE,PHDC,RAYA,RMDA,TMGH,VLMR,VLMRA
2014-11-11,11.37332262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,11.3999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,11.41132192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-16,11.3999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,11.35398864,,,,,,,,,,5.25757322,,,,,,,,,,,,,,,,,,,,
2014-11-18,11.47532186,,,,,,,,,,5.28484624,,,,,,,,,,,,,,,,,,,,
2014-11-19,11.47532186,,,,,,,,,,5.26060383,,,,,,,,,,,,,,,,,,,,
2014-11-20,11.47532186,,,,,,,,,,5.56363398,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-23,11.45865521,,,,,,,,,,5.39090679,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-24,11.3999886,,,,,,,,,,5.15757327,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-25,11.4326559,,,,,,,,,,5.15757327,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-26,11.4606552,,,,,,,,,,5.25757322,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-27,11.4646552,,,,,,,,,,5.23030051,,,,,,,,,,24.498719,,,3.8860001,,,,,,,
2014-11-30,11.6306557,,,,,,,,,,5.26060383,,,,,,,,,,24.498719,,,3.8860001,,,,,,,
2014-12-01,11.6306557,,,,,,,,,,5.19090628,,,,,,,,,,24.498719,,,3.8860001,,,,,,,
2014-12-02,11.5979884,,,16.209999,,,,2.927571,,,5.13939116,,,,,,,,,,23.891079,,,3.8860001,,,,,,,
2014-12-03,11.5666551,,,16.280001,,,,2.97167519,,,5.06666392,,,,,,,,,,23.912155,,,3.8860001,,,,,,,
2014-12-04,11.57398842,,,16.290001,,,,2.97745682,,,5.32423986,,,,,,,,,,24.235292,,,3.8860001,,,,,,,
2014-12-07,11.665989,,,16.200001,,,,2.97332719,,,5.24242141,,,,,,,,,,24.140459,,,3.8860001,,,0.12098052,,,,
2014-12-08,11.7326556,,,17.02,,,,2.97349221,,,5.17272478,,,,,,,,,7.2,24.140459,,,3.8860001,,,0.11980405,,,0.683682,
2014-12-09,11.01598965,,,17.01,,,,2.97365756,,,5.17272478,,,,,4.652108,,,,7.2,24.140459,,,3.8860001,,,0.11823542,,,0.666373,
2014-12-10,11.00998832,,4.59532871,17.059999,1.8180468,3.29,14.53469875,3.05591962,,,5.17272478,,,13.23,,4.653609,,,,7.584,24.302027,,,3.8860001,,3.39163134,0.11803934,,10.48,0.640411,
2014-12-11,11.00932232,,4.5353287,17.1,1.88867133,3.13,14.25044402,3.08317495,,,5.09393663,,,12.92,,4.793172,,,,7.584,24.586528,,,3.8860001,,3.29676054,0.11392169,,10.31,0.588486,
2014-12-14,11.00932232,,4.34999562,17.02,1.8351679,2.9,13.6587298,3.08813066,,,4.90605854,,,12.44,,4.650607,,,,7.2,24.182605,,,3.8860001,,3.06748942,0.11000012,,9.86,0.553869,
2014-12-15,10.9666557,,4.29932887,16.969999,1.8244671,2.84,13.98939347,3.13851204,,,5.14242146,,,12.46,,4.650607,,,,7.232,25.285487,,,3.8860001,,3.05958352,0.11098051,,10.03,0.588486,
