datetime,ABUK,ADIB,AMOC,ARCC,BTFH,CCAP,COMI,EAST,EFID,EFIH,EGAL,EGCH,EMFD,ETEL,FWRY,GBCO,HELI,HRHO,ISPH,JUFO,MCQE,OIH,ORAS,ORHD,ORWE,PHDC,RAYA,RMDA,TMGH,VLMR,VLMRA
2014-11-11,11.37332262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,11.3999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,11.3999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-16,11.3999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,11.333322,,,,,,,,,,5.218179,,,,,,,,,,,,,,,,,,,,
2014-11-18,11.3999886,,,,,,,,,,5.212119,,,,,,,,,,,,,,,,,,,,
2014-11-19,11.47532186,,,,,,,,,,5.26060383,,,,,,,,,,,,,,,,,,,,
2014-11-20,11.47532186,,,,,,,,,,5.42423981,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-23,11.4659892,,,,,,,,,,5.32727016,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-24,11.3999886,,,,,,,,,,5.35151257,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-25,11.42665457,,,,,,,,,,5.10605814,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-26,11.4333219,,,,,,,,,,5.15151267,,,,,,,,,,,,,3.8860001,,,,,,,
2014-11-27,11.45998787,,,,,,,,,,5.29999744,,,,,,,,,,24.579504,,,3.8860001,,,,,,,
2014-11-30,11.48332185,,,,,,,,,,5.16969417,,,,,,,,,,24.235292,,,3.8860001,,,,,,,
2014-12-01,11.6306557,,,,,,,,,,5.19999749,,,,,,,,,,24.235292,,,3.8860001,,,,,,,
2014-12-02,11.5999884,,,16.190001,,,,2.92377174,,,5.15151267,,,,,,,,,,24.200169,,,3.8860001,,,,,,,
2014-12-03,11.5673211,,,16.02,,,,2.67615951,,,5.12423995,,,,,,,,,,23.884055,,,3.8860001,,,,,,,
2014-12-04,11.666655,,,16.299999,,,,2.97332719,,,5.27272473,,,,,,,,,,24.235292,,,3.8860001,,,,,,,
2014-12-07,11.666655,,,16.110001,,,,2.97332719,,,5.24242141,,,,,,,,,,24.235292,,,3.8860001,,,0.12156876,,,,
2014-12-08,11.666655,,,16.200001,,,,2.97349221,,,5.18181568,,,,,,,,,7.2,24.140459,,,3.8860001,,,0.12019621,,,0.692336,
2014-12-09,11.4326559,,,16.860001,,,,2.97365756,,,5.15151267,,,,,4.652108,,,,7.128,24.140459,,,3.8860001,,,0.11921581,,,0.683682,
2014-12-10,10.80332253,,4.59932857,17.0,1.78915483,3.33,14.65652162,3.05426761,,,5.17272478,,,13.39,,4.652108,,,,7.32,23.778684,,,3.8860001,,3.41534905,0.11764718,,10.51,0.649065,
2014-12-11,10.999323,,4.56666207,17.049999,1.78915483,3.21,14.50279232,3.05591962,,,5.09999754,,,13.16,,4.802176,,,,7.6,24.586528,,,3.8860001,,3.35210184,0.1156864,,10.5,0.640411,
2014-12-14,11.2666554,,4.4679953,17.1,1.89509164,3.06,14.08511219,3.08317495,,,5.09393663,,,13.0,,4.667115,,,,7.208,24.358223,,,3.8860001,,3.26513693,0.11098051,,10.24,0.562523,
2014-12-15,10.999989,,4.31666232,16.99,1.84372845,2.85,13.49919938,3.13851204,,,5.12120965,,,12.67,,4.650607,,,,7.008,24.235292,,,3.8860001,,3.05167762,0.11274522,,9.71,0.571177,
