datetime,ABUK,ADIB,AMOC,ARCC,BTFH,CCAP,COMI,EAST,EFID,EFIH,EGAL,EGCH,EMFD,ETEL,FWRY,GBCO,HELI,HRHO,ISPH,JUFO,MCQE,OIH,ORAS,ORHD,ORWE,PHDC,RAYA,RMDA,TMGH,VLMR,VLMRA
2014-11-11,930.00093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,22500.02250565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,840810.8410211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-16,1650.00165041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,7350.00735185,,,,,,,,,,33643.51622454,,,,,,,,,,,,,,,,,,,,
2014-11-18,5250.00525132,,,,,,,,,,40702.21962859,,,,,,,,,,,,,,,,,,,,
2014-11-19,0.0,,,,,,,,,,3960.00190971,,,,,,,,,,,,,,,,,,,,
2014-11-20,0.0,,,,,,,,,,107068.55163365,,,,,,,,,,,,,0.0,,,,,,,
2014-11-23,15915.015919,,,,,,,,,,21648.01043972,,,,,,,,,,,,,0.0,,,,,,,
2014-11-24,3255.00325582,,,,,,,,,,33947.11637095,,,,,,,,,,,,,0.0,,,,,,,
2014-11-25,4590.00459115,,,,,,,,,,990.00047743,,,,,,,,,,,,,0.0,,,,,,,
2014-11-26,15360.01536386,,,,,,,,,,22935.01106038,,,,,,,,,,,,,0.0,,,,,,,
2014-11-27,17100.01710429,,,,,,,,,,12061.50581664,,,,,,,,,,810.0,,,0.0,,,,,,,
2014-11-30,2700.00270068,,,,,,,,,,4969.80239668,,,,,,,,,,256.0,,,0.0,,,,,,,
2014-12-01,0.0,,,,,,,,,,4290.00206885,,,,,,,,,,37.0,,,0.0,,,,,,,
2014-12-02,213285.21333855,,,163208.0,,,,1114509.02570746,,,4735.50228369,,,,,,,,,,51976.0,,,0.0,,,,,,,
2014-12-03,6525.00652664,,,37020.0,,,,988407.86869776,,,14190.00684311,,,,,,,,,,10152.0,,,0.0,,,,,,,
2014-12-04,3390.00339085,,,131041.0,,,,1348126.0995915,,,14246.10687016,,,,,,,,,,580.0,,,0.0,,,,,,,
2014-12-07,13695.01369844,,,28991.0,,,,2541395.37746873,,,3300.00159142,,,,,,,,,,953.0,,,0.0,,,624035.3335545,,,,
2014-12-08,665340.66550704,,,273208.0,,,,30390.19722462,,,13530.00652483,,,,,,,,,5261740.0,0.0,,,0.0,,,4938936.72540737,,,696010.0,
2014-12-09,10530.01053264,,,1189304.0,,,,6666713.30510638,,,313.50015118,,,,,1994355.0,,,,1093208.75,0.0,,,0.0,,,1871341.00148048,,,1467653.0,
2014-12-10,288555.28862745,,123330.12414594,960792.0,2394107.86877692,7719911.0,3141122.68929792,1212459.90042743,,,0.0,,,597209.0,,6307807.0,,,,1503821.25,1549.0,,,0.0,,7602807.48304721,1601092.29009561,,2761108.0,1680580.0,
2014-12-11,208380.20843232,,263745.26548991,164666.0,4945971.95738171,8548330.0,4719949.68358133,827860.45228406,,,14440.80696406,,,829409.0,,6763.0,,,,1561496.25,610.0,,,0.0,,12259744.37246056,2202585.64772406,,3000359.0,3250850.0,
