conia_date,conia_value,headline_yy,core_yy,inflation_month,inflation_published_date,fetched_at
2026-04-22,0.210000,0.1520,0.1400,2026-04,2026-04-22,2026-04-22T22:54:45.725048
2026-04-23,0.220000,0.1520,0.1400,2026-04,2026-04-24,2026-04-24T20:14:57.401119
2026-04-26,0.220000,0.1520,0.1400,2026-04,2026-04-26,2026-04-26T11:33:56.408417
2026-04-30,0.290000,0.1520,0.1400,2026-05,2026-05-01,2026-05-01T16:33:42.233089
2026-05-03,0.300000,0.1520,0.1400,2026-05,2026-05-04,2026-05-04T00:31:10.884554
2026-06-03,0.197790,0.1490,0.1380,2026-06,2026-06-03,2026-06-03T17:28:20.912300
2026-06-04,0.198000,0.1490,0.1380,2026-06,2026-06-05,2026-06-05T18:20:25.317070
2026-06-07,0.197720,0.1490,0.1380,2026-06,2026-06-08,2026-06-08T05:24:34.083701
2026-06-08,0.197490,0.1490,0.1380,2026-06,2026-06-08,2026-06-08T21:47:30.154560
2026-06-10,0.197890,0.1490,0.1380,2026-06,2026-06-10,2026-06-10T16:52:40.210895
2026-06-14,0.110000,0.1490,0.1380,2026-06,2026-06-15,2026-06-15T04:38:01.333717
2026-06-17,0.160000,0.1490,0.1380,2026-06,2026-06-19,2026-06-19T03:52:41.082464
2026-06-18,0.160000,0.1490,0.1380,2026-06,2026-06-19,2026-06-19T20:24:53.958529
