,first_valid,last_valid,total_valid_days,coverage_pct
ORHD,2007-06-21,2026-06-04,3765,83.4
BTFH,2008-09-10,2026-06-04,3522,78.0
EAST,2010-02-16,2026-06-04,3765,83.4
EGAL,2010-05-10,2026-06-04,3765,83.4
MCQE,2010-06-24,2026-06-04,3765,83.4
ABUK,2010-07-07,2026-06-04,3765,83.4
GBCO,2010-07-22,2026-06-04,3765,83.4
ORWE,2010-09-02,2026-06-04,3765,83.4
JUFO,2010-09-20,2026-06-04,3765,83.4
EGCH,2010-09-21,2026-06-04,3765,83.4
ADIB,2010-09-22,2026-06-04,3765,83.4
HELI,2010-09-26,2026-06-04,3765,83.4
VLMR,2010-09-26,2026-06-04,3765,83.4
RAYA,2010-09-26,2026-06-04,3765,83.4
PHDC,2010-09-27,2026-06-04,3765,83.4
HRHO,2010-09-28,2026-06-04,3765,83.4
COMI,2010-09-29,2026-06-04,3765,83.4
TMGH,2010-09-29,2026-06-04,3765,83.4
AMOC,2010-09-29,2026-06-04,3765,83.4
ETEL,2010-09-29,2026-06-04,3765,83.4
CCAP,2010-09-29,2026-06-04,3765,83.4
OIH,2012-01-22,2026-06-04,3480,77.0
ARCC,2014-03-25,2026-06-04,2952,65.4
EMFD,2015-03-05,2026-06-04,2692,59.6
ORAS,2015-03-11,2026-06-04,2724,60.3
EFID,2015-04-02,2026-06-04,2705,59.9
ISPH,2017-12-11,2026-06-04,2054,45.5
FWRY,2019-08-08,2026-02-24,1592,35.2
RMDA,2019-11-27,2026-06-04,1580,35.0
VLMRA,2021-09-19,2026-06-04,1140,25.2
EFIH,2021-10-19,2026-06-04,1119,24.8
